Time,Alive
0,100
0,100
2,100
3,100
4,100
5,100
6,100
7,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
36,100
37,100
38,100
39,100
40,100
42,100
43,100
44,100
45,100
46,100
47,100
48,100
49,99
51,99
52,99
53,99
54,99
55,99
56,99
57,99
58,99
60,99
61,99
62,99
63,99
64,99
65,99
66,99
67,99
69,97
70,97
71,97
72,97
73,97
74,97
75,97
76,97
77,97
78,97
79,97
81,97
82,97
83,97
84,96
85,96
86,96
87,96
89,96
90,96
91,96
92,95
93,95
94,95
95,95
96,95
97,94
98,94
100,94
101,94
102,94
103,94
104,94
105,93
106,93
108,93
109,93
110,92
111,92
112,92
113,91
114,91
115,91
117,91
118,91
119,90
120,89
121,89
122,89
123,89
125,89
126,89
127,89
128,89
129,88
130,86
131,86
132,85
133,85
134,85
135,85
136,85
137,84
138,83
140,83
141,82
142,81
143,80
144,80
145,80
147,79
148,79
149,78
151,78
152,78
153,78
155,77
156,77
157,77
158,76
159,76
160,75
162,73
164,72
166,72
167,71
168,71
169,71
170,71
171,71
172,71
173,70
174,70
175,70
176,70
177,70
178,69
179,69
180,69
181,69
183,69
185,69
186,68
188,68
189,65
190,65
191,64
193,64
194,64
196,63
198,63
200,63
201,63
202,62
203,62
205,62
206,62
207,61
209,59
210,59
211,59
213,59
214,59
215,59
217,58
218,58
219,58
220,57
221,57
222,57
223,57
224,57
225,57
226,57
227,56
228,56
230,55
231,55
232,55
234,54
235,53
236,53
237,52
238,52
239,51
240,51
241,51
242,51
243,50
244,50
245,50
246,50
247,50
248,50
249,50
250,50
251,50
252,50
253,49
254,49
255,48
256,48
257,48
258,48
259,48
260,48
261,47
262,47
263,47
264,47
265,46
266,46
267,46
268,45
269,45
270,45
271,44
272,44
273,43
274,43
275,43
276,43
277,43
278,43
279,41
280,41
281,41
282,41
283,41
284,40
285,40
286,40
287,39
288,38
289,38
290,37
291,36
292,36
293,36
294,36
295,36
296,36
297,34
298,34
299,34
300,34
301,33
302,32
303,32
304,32
305,32
306,32
307,31
308,31
309,31
310,31
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,31
320,31
321,31
322,31
323,31
324,31
325,31
326,30
327,30
328,29
329,29
330,29
331,29
332,28
333,28
334,28
