Time,Alive
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
13,100
14,100
15,100
16,100
17,100
18,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
32,100
33,100
34,100
35,100
36,99
38,99
39,99
40,99
41,99
42,99
44,99
45,99
46,98
47,97
49,96
50,96
51,96
52,96
54,96
56,96
57,95
59,95
60,95
62,94
63,94
65,94
66,93
67,93
68,93
69,93
70,93
71,93
72,93
73,93
74,93
75,93
76,93
77,93
78,92
79,92
80,92
81,92
82,92
84,91
85,91
87,91
88,91
89,89
91,89
92,88
93,88
94,88
95,88
96,88
97,88
98,88
99,88
101,87
102,86
103,86
104,86
105,86
106,85
107,85
108,84
109,83
110,83
111,83
112,81
113,80
114,80
115,79
116,78
117,77
118,77
119,77
120,76
121,75
122,75
123,73
124,73
125,73
126,73
127,73
128,73
129,72
130,72
131,72
132,71
133,71
134,71
135,71
136,67
137,66
138,65
139,65
140,65
141,65
142,65
143,65
144,64
145,64
146,64
147,63
148,63
149,63
150,62
151,62
152,61
153,60
154,60
155,59
156,59
157,58
158,58
159,58
160,58
161,58
162,58
163,58
164,58
165,58
166,58
167,58
168,58
169,57
170,57
171,57
172,57
173,57
174,57
175,57
176,56
177,56
178,55
179,54
180,54
181,54
182,54
183,54
184,54
185,53
186,53
187,52
188,51
189,51
190,51
191,51
192,50
193,49
194,49
195,49
196,47
197,47
198,47
199,47
200,47
201,47
202,46
203,46
204,45
205,45
206,45
207,45
208,44
209,44
210,44
211,44
212,44
213,43
214,42
215,42
216,42
217,42
218,42
219,42
220,42
221,42
222,41
223,40
224,40
225,40
226,40
227,40
228,40
229,40
230,40
231,40
232,40
233,40
234,40
235,40
236,40
237,40
238,40
239,40
240,40
241,40
242,40
243,40
244,40
245,40
246,40
247,39
248,39
249,39
250,39
251,39
252,39
253,39
254,39
255,39
256,39
257,39
258,39
259,39
260,39
261,39
262,39
263,39
264,39
265,37
266,37
267,37
268,37
269,37
270,37
271,37
272,36
273,36
274,36
275,36
276,36
277,36
278,36
279,36
280,36
281,36
282,36
283,36
284,35
285,35
286,35
287,35
288,35
289,35
290,35
291,35
292,35
293,35
294,34
295,34
296,33
297,33
298,33
299,31
300,31
301,31
302,31
303,30
304,30
305,30
306,30
307,30
308,30
309,30
310,30
311,30
312,30
313,30
314,30
315,30
