Time,Alive
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
37,100
38,100
39,100
40,100
41,100
42,100
43,99
44,98
45,98
46,98
47,98
48,98
49,97
50,96
51,96
52,96
53,95
54,95
56,95
57,95
58,95
59,95
60,95
61,95
62,95
63,95
64,94
65,93
67,93
68,93
69,92
70,92
71,92
72,92
73,91
75,91
76,91
77,91
78,91
79,91
80,91
82,91
83,91
84,91
85,91
86,91
88,90
89,90
90,89
91,89
92,89
94,88
95,88
96,85
97,85
98,84
99,84
101,84
102,84
104,84
105,84
106,84
107,84
108,84
109,84
110,84
112,84
113,83
115,83
116,83
117,83
118,82
120,82
122,80
123,80
124,80
126,80
127,80
129,80
130,79
132,78
133,78
134,78
135,78
136,78
138,78
139,77
140,75
142,75
143,75
144,75
145,75
147,75
148,75
150,75
151,75
152,75
153,74
155,72
156,69
158,69
159,69
160,69
161,68
162,67
163,67
164,67
165,66
166,66
167,66
168,65
169,64
170,64
171,64
172,64
173,63
174,62
176,60
177,59
178,58
179,58
180,58
182,55
183,54
185,52
186,51
187,51
188,51
189,50
190,47
191,47
192,46
193,46
194,45
195,45
196,44
197,43
198,43
199,43
200,43
201,43
202,42
203,42
204,42
206,42
207,41
208,41
210,40
211,40
213,39
214,39
216,39
218,39
220,38
221,38
223,38
224,38
225,38
227,37
228,37
229,36
230,36
231,36
232,36
233,36
234,36
235,35
236,35
237,35
238,35
239,34
240,34
241,34
242,34
243,34
244,34
245,34
246,34
247,34
248,34
249,34
250,34
251,34
252,34
253,33
254,33
255,33
256,33
257,33
258,33
259,33
260,33
262,33
264,33
266,32
267,32
269,32
270,32
271,32
272,31
274,31
275,31
277,31
278,31
279,31
280,30
282,30
284,28
285,28
286,28
288,27
290,27
291,27
293,27
295,27
297,27
298,27
299,27
300,27
302,27
303,27
304,27
305,27
306,27
307,27
308,27
310,27
311,27
313,27
314,27
316,27
318,27
319,27
321,27
322,27
323,27
325,27
327,27
329,27
330,27
331,27
332,27
333,27
334,27
335,27
336,27
337,27
339,27
340,27
341,27
343,27
344,27
345,27
346,27
348,27
350,27
351,27
353,26
354,26
356,25
358,25
359,25
360,25
361,25
362,25
363,25
