Time,Alive
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
36,100
37,100
38,99
39,99
40,99
41,99
42,99
43,99
44,99
45,99
47,99
48,99
49,99
50,99
51,98
52,98
53,98
54,98
55,98
56,98
57,98
58,98
59,98
60,98
62,98
63,98
64,98
65,98
66,98
67,98
68,98
69,98
70,98
71,98
72,96
73,96
74,96
75,96
76,96
77,94
79,94
80,93
81,93
82,93
83,93
84,93
85,93
87,92
88,92
89,92
90,91
91,91
92,91
93,91
95,91
96,89
97,87
98,87
99,87
100,86
102,85
104,84
105,83
106,83
107,83
108,83
109,83
110,83
111,83
112,83
113,83
115,82
116,82
118,82
119,82
120,82
122,82
123,82
124,81
125,81
126,81
128,81
129,81
130,81
131,80
132,78
134,78
135,78
137,78
138,78
140,78
141,78
142,77
143,76
144,76
146,76
147,76
148,76
149,76
150,73
152,73
154,73
155,72
156,72
157,72
158,72
159,72
160,72
161,72
162,72
164,72
165,72
167,72
168,71
169,70
171,67
172,67
174,67
175,66
177,63
179,63
180,61
181,61
182,60
183,60
184,60
185,60
187,59
189,58
190,58
191,57
192,57
193,57
194,57
196,57
197,56
199,56
200,56
201,56
202,56
203,55
204,55
205,55
207,55
209,55
210,54
211,54
212,54
213,54
214,53
215,52
216,52
218,52
219,52
221,52
222,52
223,50
225,50
226,49
228,49
229,49
231,49
232,49
233,48
234,48
235,48
236,48
238,47
239,47
241,46
242,44
244,44
246,44
248,44
249,44
250,42
251,42
252,42
253,42
255,42
256,42
258,42
259,42
260,42
262,42
263,42
264,42
265,42
266,42
267,41
269,41
270,41
271,41
273,41
274,40
276,40
278,40
279,40
281,40
282,40
283,40
284,40
285,40
287,40
288,40
289,40
291,40
292,40
293,40
294,40
295,40
296,39
298,38
299,38
301,38
303,38
304,37
306,37
307,37
308,37
309,37
311,37
312,37
313,37
314,37
315,37
316,37
317,36
319,36
320,34
321,33
322,32
324,31
325,31
326,31
328,31
330,31
331,31
332,31
333,31
334,31
336,31
337,31
339,31
340,31
341,30
342,30
343,30
345,30
347,30
348,30
349,30
350,30
351,29
353,29
354,29
355,29
357,29
358,29
360,29
362,29
363,29
364,29
366,29
367,29
368,29
369,29
370,29
