Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
7,200
8,200
9,200
10,200
11,200
13,200
14,200
15,200
17,200
18,200
19,200
21,200
22,200
23,200
25,200
26,200
27,200
29,200
30,200
31,200
32,200
34,200
35,200
36,200
37,200
38,200
39,200
40,200
42,200
43,199
45,199
46,199
47,199
49,199
50,199
51,199
52,199
54,198
55,198
57,198
58,197
59,195
60,194
62,194
63,194
64,193
65,192
66,192
67,192
68,192
69,192
70,192
72,190
73,188
74,185
75,184
76,184
77,180
78,179
79,177
80,173
81,169
82,169
83,167
84,166
85,165
86,164
87,162
88,160
89,159
90,156
91,151
92,149
93,148
94,148
95,145
96,143
97,143
98,143
99,141
100,139
101,137
102,136
103,134
104,133
105,133
106,132
107,128
108,125
109,125
110,123
111,118
112,117
113,115
114,111
115,106
116,106
117,101
118,100
119,98
120,96
121,91
122,91
123,90
124,87
125,85
126,82
127,78
128,77
129,76
130,74
131,72
132,71
133,67
134,63
135,61
136,60
137,58
138,58
139,58
140,57
141,55
142,55
143,54
144,54
145,53
146,52
147,52
148,52
149,52
150,52
151,52
152,52
153,51
154,51
155,51
156,49
157,49
158,49
159,49
160,48
161,48
162,48
163,48
164,48
165,48
166,48
167,48
168,48
169,48
170,48
171,47
172,46
173,45
174,45
175,45
176,45
177,45
178,45
179,45
180,45
181,45
182,45
183,45
184,45
185,45
186,45
187,45
188,45
189,44
190,44
191,44
192,44
193,44
194,44
195,44
196,44
197,44
198,44
199,44
200,44
201,44
202,44
203,44
204,44
205,43
206,43
207,43
208,43
209,43
210,43
211,43
212,43
213,43
214,43
215,43
216,43
217,43
218,43
219,43
220,43
221,43
222,43
223,43
224,41
225,41
226,41
227,41
228,41
229,41
230,39
231,39
232,39
233,39
234,39
235,39
236,39
237,39
238,39
239,39
240,39
241,39
242,39
243,39
244,39
245,39
246,39
247,39
248,39
249,39
250,38
251,38
252,38
253,38
254,38
255,38
256,38
257,38
258,38
259,38
260,38
261,38
262,38
263,38
264,38
265,38
266,38
267,38
268,38
269,38
270,38
271,38
272,38
273,38
274,38
275,38
276,38
277,38
278,38
279,38
280,38
281,38
282,38
283,38
284,38
285,38
286,37
287,37
288,37
289,37
290,37
291,37
292,37
293,37
294,37
295,37
296,37
297,37
298,37
299,37
300,37
301,37
302,37
303,37
304,37
305,37
306,37
307,37
308,37
309,37
310,37
311,37
312,37
313,37
314,37
