Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
6,200
8,200
9,200
10,200
11,200
12,200
13,200
15,200
16,200
17,200
18,200
20,200
21,200
23,200
24,200
25,200
26,200
28,200
29,200
30,200
32,200
33,200
34,200
35,200
36,200
38,200
39,200
40,200
41,200
42,200
44,200
46,200
47,199
49,198
50,198
52,198
54,197
55,197
57,197
58,197
60,195
61,194
63,194
65,193
67,191
69,188
70,187
71,187
72,187
73,186
74,185
75,183
76,183
77,180
78,177
79,173
80,172
81,170
82,168
83,168
84,166
85,162
86,160
87,157
88,155
89,153
90,149
91,146
92,144
93,140
94,139
95,137
96,136
97,133
98,130
99,128
100,127
101,126
102,124
103,122
104,119
105,117
106,114
107,113
108,112
109,109
110,108
111,107
112,104
113,102
114,100
115,97
116,95
117,94
118,92
119,87
120,84
121,82
122,81
123,81
124,81
125,79
126,76
127,74
128,71
129,70
130,67
131,65
132,65
133,62
134,61
135,61
136,58
137,58
138,58
139,56
140,54
141,53
142,53
143,53
144,49
145,48
146,47
147,46
148,45
149,45
150,45
151,45
152,45
153,44
154,44
155,44
156,44
157,43
158,43
159,43
160,43
161,43
162,43
163,43
164,43
165,43
166,43
167,43
168,43
169,42
170,42
171,42
172,42
173,41
174,41
175,40
176,40
177,40
178,40
179,40
180,40
181,40
182,40
183,40
184,40
185,40
186,40
187,40
188,39
189,38
190,38
191,38
192,38
193,38
194,38
195,37
196,37
197,37
198,37
199,37
200,36
201,36
202,36
203,36
204,36
205,35
206,35
207,35
208,35
209,35
210,35
212,35
214,35
215,35
216,35
217,34
219,34
220,34
221,34
223,34
224,34
225,34
226,34
227,34
228,34
229,34
230,34
231,34
232,34
233,34
234,34
235,34
237,34
239,34
241,34
242,34
243,34
244,34
245,34
247,34
249,34
251,34
252,34
253,34
254,34
255,34
256,34
257,34
258,34
259,34
260,34
261,34
262,34
263,34
264,34
265,34
266,34
267,34
268,34
269,34
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,34
280,34
281,33
282,33
283,33
284,33
285,33
286,33
287,33
288,33
289,33
290,33
291,33
292,33
293,33
294,33
295,33
296,33
297,33
298,33
299,33
300,33
301,33
302,33
303,33
304,33
305,33
306,33
307,33
308,33
309,33
310,33
311,33
312,33
313,33
314,33
315,33
316,33
317,33
318,33
319,33
320,33
321,33
322,33
323,33
324,33
325,33
326,33
327,33
328,33
