Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
13,200
14,200
16,200
17,200
18,200
19,200
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,200
30,200
31,200
32,200
33,200
35,199
36,199
37,198
39,198
40,198
41,198
43,198
44,198
45,198
46,198
47,197
49,195
50,194
52,194
53,194
55,192
56,192
57,190
59,190
60,190
61,190
63,190
64,190
65,190
66,190
68,190
69,190
70,190
71,189
72,189
74,187
75,186
76,184
77,182
78,181
79,177
80,173
81,173
82,173
83,172
84,168
85,166
86,166
87,165
88,162
89,162
90,161
91,159
92,159
93,158
94,155
95,150
96,147
97,145
98,142
99,141
100,139
101,136
102,134
103,133
104,130
105,129
106,129
107,128
108,126
109,125
110,124
111,122
112,119
113,117
114,115
115,115
116,111
117,109
118,107
119,106
120,102
121,100
122,99
123,98
124,95
125,93
126,91
127,90
128,90
129,89
130,87
131,85
132,85
133,84
134,80
135,77
136,76
137,71
138,71
139,70
140,68
141,67
142,64
143,61
144,60
145,60
146,59
147,59
148,58
149,58
150,57
151,55
152,55
153,54
154,52
155,52
156,52
157,52
158,52
159,52
160,51
161,51
162,50
163,50
164,50
165,50
166,50
167,50
168,50
169,50
170,50
171,50
172,50
173,50
174,50
175,50
176,50
178,49
180,49
182,47
183,45
184,45
185,45
186,43
187,43
188,43
189,42
190,42
191,42
192,42
193,42
194,41
195,41
196,41
197,41
198,41
199,41
200,41
201,41
202,41
203,41
204,41
205,41
206,41
207,41
208,41
209,41
210,41
211,41
212,41
213,41
214,41
216,41
217,41
218,41
219,41
220,41
221,41
222,41
224,41
226,41
227,41
229,41
231,41
233,41
235,41
237,41
238,41
240,41
241,41
243,41
244,41
245,41
246,41
248,41
250,41
252,41
253,41
254,41
256,41
257,41
258,41
259,41
261,41
262,41
264,41
265,41
266,41
267,41
269,41
270,41
271,41
272,41
274,41
276,41
278,41
279,41
281,41
283,41
284,41
285,41
287,41
288,41
289,41
290,41
291,41
293,41
295,41
296,41
297,41
299,41
300,41
302,41
304,41
305,41
306,41
307,41
308,41
310,41
312,41
313,41
315,41
316,41
317,41
319,41
320,41
321,41
322,40
323,40
324,40
326,40
328,40
330,40
331,40
333,39
335,38
336,38
338,38
340,38
342,38
344,38
345,38
346,38
347,38
348,38
350,38
352,38
353,38
354,38
356,38
357,38
359,38
361,38
363,38
365,38
