Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
10,200
11,200
12,200
13,200
15,200
16,200
17,200
18,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
28,200
29,200
30,200
31,200
33,199
34,199
36,198
37,198
38,198
40,197
41,197
42,197
43,197
44,196
45,196
47,195
48,194
50,193
52,192
53,192
54,189
55,189
56,189
57,188
58,187
59,187
60,187
61,185
62,184
63,184
64,183
65,183
66,183
67,182
68,182
69,182
70,181
71,181
72,181
73,180
74,179
75,178
76,177
77,176
78,170
79,169
80,167
81,163
82,163
83,162
84,160
85,155
86,155
87,153
88,151
89,150
90,148
91,147
92,144
93,143
94,140
95,137
96,136
97,135
98,132
99,129
100,127
101,127
102,123
103,121
104,120
105,116
106,111
107,111
108,107
109,106
110,103
111,100
112,97
113,94
114,93
115,89
116,87
117,87
118,85
119,82
120,79
121,78
122,73
123,71
124,66
125,65
126,64
127,64
128,60
129,60
130,58
131,54
132,52
133,52
134,51
135,51
136,51
137,50
138,48
139,46
140,46
141,44
142,44
143,43
144,42
145,41
146,40
147,39
148,39
149,39
150,39
151,38
152,38
153,38
154,38
155,37
156,37
157,36
158,36
159,36
160,35
161,35
162,35
163,35
164,35
165,35
166,35
167,35
168,33
169,31
170,31
171,31
172,31
173,31
174,31
175,31
176,31
177,31
178,31
179,31
180,31
181,31
182,31
183,31
184,31
185,31
186,31
187,31
188,31
189,31
190,31
191,31
192,31
193,31
194,31
195,31
196,31
197,31
198,31
199,31
200,31
201,31
202,31
203,31
204,31
205,31
206,31
207,31
208,31
209,31
210,31
211,31
212,31
213,31
214,31
215,31
216,31
217,31
218,31
219,31
220,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,31
235,31
236,31
237,31
238,31
239,31
240,31
241,31
242,31
243,31
244,31
245,31
246,31
247,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
257,31
258,31
259,31
260,31
261,31
262,31
263,31
264,31
265,31
266,31
267,31
268,31
269,31
270,31
271,31
272,31
273,31
274,31
275,31
276,31
277,31
278,31
279,31
280,31
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
310,31
