Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
6,200
8,200
9,200
10,200
11,200
13,200
14,200
15,200
17,200
18,200
20,200
21,200
22,200
23,200
25,200
26,200
27,200
28,200
29,200
30,200
31,200
33,200
34,200
35,200
36,200
38,200
40,199
41,199
42,199
43,199
45,197
47,197
48,197
49,196
51,196
52,196
54,196
56,196
58,195
59,195
61,194
63,194
64,194
66,193
67,193
68,193
70,193
71,192
73,190
74,188
75,185
76,185
77,183
78,181
79,178
80,175
81,173
82,173
83,172
84,169
85,168
86,166
87,166
88,164
89,160
90,154
91,152
92,150
93,147
94,140
95,139
96,134
97,130
98,128
99,127
100,127
101,125
102,123
103,123
104,121
105,114
106,110
107,108
108,106
109,105
110,100
111,97
112,97
113,92
114,90
115,89
116,87
117,85
118,79
119,79
120,77
121,75
122,73
123,69
124,67
125,64
126,64
127,64
128,64
129,63
130,59
131,57
132,55
133,53
134,52
135,52
136,52
137,51
138,51
139,49
140,47
141,45
142,45
143,41
144,41
145,41
146,41
147,38
148,37
149,37
150,37
151,36
152,36
153,36
154,36
155,36
156,35
157,35
158,35
159,35
160,35
161,34
162,34
163,34
164,34
165,34
166,34
167,34
168,34
169,34
170,34
171,34
172,33
173,33
174,33
175,33
176,33
177,33
178,32
179,32
180,32
181,32
182,32
183,32
184,32
185,32
186,32
187,32
188,32
189,31
190,31
191,31
192,31
193,31
194,31
195,31
196,31
197,31
198,31
199,31
200,31
201,31
202,31
203,31
204,31
205,31
206,31
207,31
208,31
209,31
210,31
211,31
212,31
213,31
214,31
215,31
216,31
217,31
218,31
219,31
220,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
230,31
231,31
232,31
233,31
234,31
235,31
236,31
237,31
238,31
239,31
240,31
241,31
242,31
243,31
244,31
245,31
246,31
247,31
248,31
249,31
250,31
251,31
252,31
253,31
254,31
255,31
256,31
257,31
258,31
259,31
260,31
261,31
262,31
263,31
264,31
266,31
267,31
269,31
270,31
271,31
272,31
273,31
274,31
275,31
276,31
277,31
278,31
279,31
280,31
281,31
282,31
283,31
284,31
285,31
286,31
287,31
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
310,31
311,31
312,31
313,31
314,31
315,31
316,31
317,31
318,31
319,31
320,31
321,31
