Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
6,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
17,200
18,200
19,200
20,200
21,200
23,200
24,200
25,200
26,200
27,200
28,200
30,200
31,200
32,200
33,200
34,200
35,200
37,200
38,199
39,199
40,199
41,199
42,197
44,197
45,197
46,196
47,196
48,196
49,195
51,195
52,195
53,195
54,194
56,193
57,193
59,193
60,193
62,193
63,193
64,192
66,191
67,191
68,190
69,187
71,187
72,186
74,183
75,183
76,180
77,180
78,178
79,178
80,176
81,174
82,174
83,172
84,169
85,168
86,168
87,168
88,166
89,163
90,162
91,158
92,156
93,154
94,153
95,153
96,151
97,149
98,149
99,147
100,142
101,139
102,139
103,138
104,135
105,133
106,131
107,129
108,124
109,122
110,120
111,115
112,113
113,109
114,108
115,107
116,107
117,104
118,102
119,100
120,96
121,93
122,91
123,89
124,86
125,84
126,81
127,80
128,78
129,78
130,74
131,72
132,68
133,66
134,65
135,61
136,59
137,57
138,56
139,53
140,53
141,51
142,51
143,50
144,48
145,48
146,48
147,48
148,48
149,48
150,47
151,47
152,47
153,47
154,46
155,46
156,46
157,46
158,46
159,45
160,44
161,44
162,44
163,44
164,44
165,44
166,44
167,44
168,44
169,44
170,44
171,44
172,44
173,44
174,44
175,44
176,44
177,44
178,44
179,44
180,44
181,43
182,43
183,43
184,43
185,43
186,43
187,43
188,43
189,43
190,43
191,43
192,43
193,43
194,42
195,42
196,42
197,42
198,42
199,42
200,42
201,42
202,42
203,42
204,42
205,42
206,42
207,42
208,42
209,42
210,42
211,42
212,42
213,42
214,42
215,42
216,42
217,42
218,42
219,42
220,42
221,41
222,41
223,41
224,41
225,41
226,41
227,41
228,41
229,41
230,41
231,41
232,41
233,41
234,41
235,41
236,41
237,41
238,41
239,41
240,41
241,41
242,41
243,41
244,41
245,41
246,41
247,41
248,41
249,40
250,40
251,40
252,40
253,40
254,40
255,40
256,40
257,40
258,40
259,40
260,40
261,40
262,40
263,40
264,40
265,40
266,40
267,40
268,40
269,40
270,40
271,40
272,39
273,39
274,39
275,39
276,39
277,39
278,39
279,39
280,39
281,39
282,39
283,39
284,39
285,39
286,39
287,39
288,39
289,39
290,39
291,39
292,39
293,39
294,39
295,38
296,38
297,38
298,38
299,38
300,38
301,38
302,38
303,38
304,38
305,38
306,38
307,38
308,38
309,38
310,38
311,38
312,38
313,38
