Time,Alive
0,200
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
13,200
14,200
15,200
16,200
17,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,200
29,200
30,200
31,200
32,200
34,200
35,200
36,199
37,199
38,199
40,199
41,198
42,198
44,197
45,196
46,195
48,193
50,193
51,193
52,192
54,192
56,191
58,191
60,188
61,188
62,188
63,187
64,187
65,187
66,187
67,185
68,185
69,185
70,185
71,185
72,184
73,183
74,180
75,179
76,176
77,175
78,171
79,170
80,162
81,160
82,157
83,156
84,155
85,151
86,148
87,147
88,146
89,144
90,142
91,140
92,139
93,134
94,132
95,132
96,129
97,127
98,125
99,122
100,122
101,119
102,118
103,116
104,112
105,110
106,109
107,108
108,108
109,106
110,104
111,102
112,99
113,97
114,93
115,93
116,93
117,89
118,86
119,83
120,82
121,80
122,80
123,79
124,78
125,76
126,72
127,70
128,64
129,62
130,61
131,60
132,58
133,54
134,52
135,49
136,47
137,47
138,44
139,43
140,41
141,40
142,40
143,40
144,40
145,39
146,39
147,38
148,38
149,38
150,38
151,38
152,38
153,37
154,37
155,37
156,37
157,37
158,36
159,34
160,34
161,34
162,34
163,33
164,33
165,33
166,32
167,32
168,32
169,32
170,32
171,32
172,31
173,31
174,31
175,30
176,30
177,30
178,30
179,30
180,30
181,30
182,29
183,29
184,29
185,29
186,29
187,29
188,29
189,29
190,29
191,29
192,29
193,29
194,29
195,29
196,29
197,29
198,29
199,29
200,29
201,29
202,28
203,27
204,27
205,27
206,27
207,27
208,27
209,27
210,27
211,27
212,27
213,27
214,26
215,26
216,26
217,26
218,26
219,26
220,26
221,26
222,26
223,26
224,26
225,26
226,26
227,26
228,26
229,26
230,26
231,26
232,26
233,26
234,26
235,26
236,26
237,26
238,26
239,26
240,26
241,26
242,26
243,26
244,26
245,26
246,26
247,26
248,26
249,26
250,26
251,26
252,26
253,26
254,26
255,26
256,26
257,26
258,26
259,26
260,26
261,26
262,26
263,26
264,26
265,26
266,26
267,26
268,26
269,26
270,26
271,26
272,26
273,26
274,26
275,26
276,26
277,26
278,26
279,26
280,26
281,26
282,26
283,26
284,26
285,26
286,26
287,26
288,26
289,26
290,26
291,26
292,26
293,26
294,26
295,26
296,26
297,26
298,26
299,26
300,26
301,26
302,26
303,26
304,26
305,26
306,26
307,26
308,26
309,26
310,26
311,26
312,26
