Time,Alive
0,50
0,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
34,50
35,50
36,49
37,49
38,49
39,49
40,49
41,49
42,49
43,49
44,49
45,49
46,49
47,49
48,49
49,49
50,49
51,49
52,49
53,49
54,49
56,49
57,49
58,49
59,48
60,48
61,48
62,47
63,46
64,46
65,46
66,46
67,46
68,46
70,44
71,43
72,43
73,42
74,42
75,42
76,42
77,42
79,42
80,42
81,41
82,41
83,41
84,40
85,40
86,40
87,40
88,40
89,39
90,39
91,39
93,39
94,39
95,39
96,39
97,39
98,39
99,39
100,39
101,39
102,39
103,39
104,39
105,39
106,39
107,39
108,39
109,39
111,39
112,39
113,39
114,39
115,39
116,39
117,39
118,39
119,38
120,38
121,38
122,38
123,38
124,38
125,38
126,38
128,38
129,37
130,36
131,36
132,36
133,36
134,36
135,36
136,36
137,36
138,36
139,36
141,36
142,36
143,36
144,36
145,36
146,36
147,36
148,36
149,36
150,35
151,35
152,35
153,35
155,35
156,35
157,35
158,35
159,35
160,35
162,35
163,35
164,35
165,35
166,35
167,35
168,35
169,35
170,35
171,35
172,35
173,35
174,35
175,35
176,35
177,35
179,35
180,35
181,35
182,35
183,35
184,35
185,35
186,35
187,35
188,34
189,34
190,34
191,34
192,34
193,34
194,34
196,33
197,33
198,33
199,33
200,33
201,33
202,33
203,33
204,33
205,33
206,33
207,32
208,32
209,32
210,32
212,32
213,32
214,32
215,32
216,32
217,32
218,32
219,32
220,31
221,31
222,31
223,31
224,31
225,31
226,31
227,31
228,31
229,31
231,31
232,31
233,31
234,31
235,31
236,31
238,31
239,31
240,31
241,31
242,31
243,31
244,31
246,31
247,31
248,31
249,31
250,31
252,31
253,31
254,31
255,31
256,31
257,30
258,30
259,30
260,30
261,30
263,30
264,30
266,30
267,30
268,30
269,29
271,29
272,29
273,29
274,29
275,29
276,29
278,29
279,29
280,29
281,29
282,29
283,28
284,28
286,28
287,28
288,28
289,27
291,27
292,26
293,26
294,26
295,26
296,26
298,26
299,26
300,26
301,26
302,26
303,26
304,26
305,26
306,26
308,26
309,26
310,26
311,26
312,24
313,24
314,23
315,23
316,23
317,23
318,23
319,22
320,22
321,22
322,21
323,20
324,20
325,20
326,20
