Time,Alive
0,50
0,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
41,50
42,50
43,50
44,49
45,49
46,48
47,47
48,47
49,47
50,47
51,47
52,47
53,47
55,47
56,47
57,47
58,45
59,45
60,45
61,45
62,45
63,45
64,45
65,45
66,45
67,45
68,45
69,45
70,45
71,45
73,45
74,45
75,45
76,45
77,45
78,45
79,45
80,45
81,45
82,45
83,45
84,45
85,45
86,45
87,45
88,45
89,45
90,45
91,45
92,45
93,45
95,45
96,45
97,45
98,45
99,45
100,45
101,45
102,45
103,44
104,44
105,44
106,44
107,44
108,44
109,44
110,44
111,44
112,44
113,44
114,44
115,44
116,44
117,44
118,44
119,43
120,43
121,43
123,43
124,43
125,43
126,43
127,43
128,43
129,43
130,43
131,42
132,42
133,42
134,41
135,41
136,41
137,41
138,40
139,40
140,39
142,39
143,39
144,38
145,38
146,38
147,38
148,38
149,38
150,38
151,38
152,38
153,38
155,38
156,38
157,38
158,38
159,38
160,38
161,38
162,37
163,37
164,37
165,36
166,36
167,36
168,36
169,36
170,36
171,36
172,36
173,36
174,36
176,36
177,36
178,36
179,36
180,36
181,36
182,36
183,36
184,35
185,35
186,35
187,35
188,34
189,34
190,34
191,33
192,33
193,33
194,33
196,33
197,32
198,32
199,32
200,32
201,32
202,32
204,32
205,32
206,32
207,31
209,30
210,30
212,30
213,30
214,29
215,29
216,29
217,29
218,29
219,29
221,29
222,28
223,28
224,28
225,28
226,28
227,28
229,28
230,28
231,28
232,28
233,28
234,28
235,28
236,28
237,28
238,28
239,28
240,27
242,26
243,26
244,26
246,26
247,26
248,26
249,26
250,26
251,26
252,26
254,26
255,26
256,26
257,26
258,26
259,26
260,26
261,26
263,26
264,26
265,26
266,26
267,26
268,26
269,26
270,26
271,26
272,26
273,26
274,26
275,26
276,26
277,26
278,26
279,26
280,26
281,26
282,25
283,25
284,25
286,25
287,25
288,25
289,25
290,25
291,25
292,25
293,25
294,24
295,24
296,24
297,24
298,24
299,24
300,24
301,24
302,24
303,24
304,24
305,24
306,24
307,24
308,23
309,22
310,21
312,20
313,20
314,20
315,20
316,19
317,19
318,19
320,19
321,19
322,19
