Time,Alive
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,49
33,49
34,49
35,49
37,49
38,49
39,49
40,49
41,49
42,49
43,49
44,49
45,49
46,49
47,49
48,49
50,48
51,47
52,47
53,47
54,46
55,45
56,45
57,44
58,44
59,44
60,44
61,43
63,43
64,43
65,43
66,42
67,41
68,41
69,41
70,41
71,41
72,41
74,41
75,40
76,40
77,40
78,40
79,40
80,40
81,40
82,40
83,40
85,40
86,40
87,40
88,40
89,40
90,39
91,39
92,38
93,38
94,38
95,38
96,38
97,37
98,37
100,37
101,36
102,36
103,36
104,36
105,36
106,36
107,36
108,36
109,36
110,35
111,35
112,34
113,34
114,34
116,34
117,34
118,34
119,34
120,34
121,33
122,33
123,33
124,33
125,33
126,33
127,33
128,33
130,33
131,33
132,33
133,33
134,33
135,33
136,33
137,32
138,32
139,31
140,31
141,31
143,31
144,31
145,31
146,31
147,31
148,29
149,29
150,28
151,27
153,27
154,27
155,27
156,27
157,27
158,27
159,27
160,27
162,27
163,27
164,27
165,27
166,27
167,27
168,27
169,27
170,27
171,27
172,26
173,25
174,25
176,25
177,24
178,24
179,24
180,24
181,24
183,24
184,24
185,24
186,24
187,24
188,23
189,23
190,23
192,23
193,23
194,23
195,23
196,23
197,23
199,23
200,23
201,23
202,23
203,23
205,23
206,23
207,23
208,23
209,23
210,23
211,23
212,23
213,23
214,23
215,23
216,23
218,23
219,23
220,23
221,23
222,23
223,23
224,23
225,23
226,23
227,23
228,23
230,23
231,23
232,23
233,23
234,23
235,23
236,23
237,23
238,23
239,23
240,23
242,23
243,23
244,23
245,23
246,23
247,23
248,23
249,22
250,22
251,22
252,22
254,22
255,21
256,21
257,21
258,21
259,21
261,21
262,21
264,21
265,21
266,21
267,21
268,21
269,21
270,21
271,21
272,21
273,21
274,21
275,21
277,21
278,21
279,21
280,21
281,21
282,21
283,21
284,21
285,21
286,21
287,21
288,21
290,21
291,21
292,21
293,21
294,20
295,20
296,20
297,20
298,20
299,20
300,20
301,20
302,20
303,20
304,20
306,19
307,19
308,19
309,19
310,19
311,19
312,19
313,19
314,19
315,19
316,19
317,19
318,19
319,19
320,19
321,18
322,18
323,17
324,17
326,17
327,17
328,17
