Time,Alive
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,49
43,47
44,47
45,47
47,47
48,47
49,47
50,47
51,47
52,47
53,47
54,47
55,47
56,47
57,47
58,47
59,47
60,47
61,47
62,47
63,47
64,47
66,47
67,47
68,47
69,47
70,47
71,47
72,47
73,47
74,47
75,47
76,47
77,47
78,47
79,47
80,47
81,47
82,47
84,47
85,47
86,47
87,47
88,47
89,47
90,47
91,47
92,47
93,47
94,46
95,46
96,46
97,46
98,46
99,45
100,45
101,45
102,45
103,45
104,45
105,44
106,44
108,44
109,44
110,44
111,44
112,44
113,44
114,44
115,44
116,44
117,44
118,44
119,44
120,44
121,43
122,43
123,43
124,43
125,43
126,43
127,43
128,43
129,43
130,43
131,43
132,43
133,43
134,43
135,43
136,43
138,43
139,43
140,43
141,43
142,43
143,43
144,43
145,43
146,42
147,42
148,42
149,41
150,41
151,41
152,41
153,41
154,41
155,40
156,40
157,40
159,40
160,40
161,40
162,40
163,40
164,40
165,40
166,40
167,40
168,40
169,40
170,40
171,40
172,39
174,39
175,37
176,37
177,37
178,37
179,37
180,37
181,37
182,36
183,35
184,35
185,34
186,34
187,32
188,31
190,31
191,30
193,30
194,29
196,29
197,29
198,29
200,29
201,29
202,29
203,29
204,29
205,29
206,29
207,29
208,29
209,28
210,28
211,28
212,28
214,28
215,28
216,28
217,28
218,28
219,28
220,27
221,27
222,27
224,27
225,27
226,27
227,27
228,27
229,27
230,27
231,27
232,27
233,27
234,27
235,27
237,27
238,27
239,27
240,27
241,27
242,27
243,27
245,26
246,26
247,26
248,26
249,26
250,26
251,26
252,26
253,26
254,26
255,26
256,26
257,26
259,25
260,25
261,25
262,25
263,25
264,25
265,24
266,23
267,22
268,22
270,22
271,22
272,22
273,22
274,22
276,22
277,20
278,20
279,20
281,20
282,20
284,20
285,19
286,19
288,19
289,19
291,18
293,18
294,18
295,18
296,18
298,18
299,18
300,17
301,17
302,16
303,16
305,16
306,16
307,16
309,16
310,16
311,16
312,16
313,16
314,16
315,16
316,16
317,16
318,16
319,16
321,16
322,16
323,16
324,16
325,16
326,15
327,15
328,15
329,15
