Time,Alive
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,49
36,49
37,49
38,49
39,49
40,49
41,49
42,49
44,49
45,49
46,49
47,49
48,49
49,49
50,49
51,49
52,49
53,48
54,47
55,47
56,47
57,47
58,47
59,47
60,46
61,46
63,46
64,46
65,45
66,44
67,43
68,43
69,43
70,43
71,43
72,43
73,43
75,42
76,42
77,42
78,42
79,42
80,42
81,42
82,42
83,42
84,42
85,42
86,42
87,42
88,42
89,42
90,42
91,42
92,42
93,42
94,42
95,42
97,42
98,42
99,42
100,42
101,42
102,42
103,42
104,41
105,41
106,41
107,41
108,40
109,39
110,39
111,39
112,39
113,39
114,39
115,39
116,39
117,39
118,39
119,39
120,39
121,39
123,39
124,39
125,39
126,39
127,39
128,39
129,39
130,39
131,39
132,39
133,39
134,39
135,39
136,39
137,39
138,39
139,39
140,39
141,39
142,39
143,39
144,39
145,39
147,39
148,39
149,39
150,39
151,39
152,39
153,38
154,38
155,38
156,38
157,38
158,38
159,38
161,37
162,37
163,36
164,35
165,35
166,35
167,35
168,35
169,35
170,34
171,33
172,33
173,33
174,33
176,33
177,32
178,31
179,31
180,31
181,31
182,30
183,29
185,29
186,29
187,29
188,29
190,29
191,28
192,27
193,27
194,27
196,27
197,27
198,27
199,27
200,27
201,27
202,27
203,27
204,27
205,27
206,27
207,27
208,27
209,27
210,27
211,26
212,25
213,25
214,25
215,25
216,25
217,25
218,24
219,24
220,24
221,24
222,24
223,24
224,23
225,23
226,23
228,23
229,23
230,23
231,23
232,23
233,23
234,23
235,23
236,23
237,23
238,23
239,23
240,23
241,23
242,23
243,23
244,23
245,23
247,23
248,23
249,23
250,23
251,23
252,23
253,23
254,23
256,23
257,23
258,22
259,22
260,22
261,22
262,22
263,22
264,22
265,22
266,22
267,22
268,22
269,22
270,22
271,22
272,22
273,22
274,22
275,22
276,21
277,21
278,21
279,21
280,21
281,20
283,20
284,19
285,19
286,19
287,19
288,19
289,18
290,18
291,18
292,18
293,18
294,18
295,18
296,18
297,15
298,15
299,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,14
309,14
311,14
312,14
313,14
314,14
315,14
317,14
318,14
319,13
