Time,Alive
0,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
62,50
63,50
64,50
65,50
66,49
67,49
68,49
69,49
70,49
71,49
72,49
73,49
74,49
75,46
76,45
77,45
78,45
79,44
80,44
81,44
82,44
84,44
85,44
86,44
87,43
88,43
89,43
90,43
91,43
92,42
93,42
94,42
95,40
96,40
97,39
98,39
99,39
100,39
101,38
102,38
103,38
105,37
106,37
107,37
108,37
109,37
110,37
111,37
112,37
113,37
114,37
115,37
116,37
118,37
119,37
120,37
121,37
122,37
123,37
124,37
125,37
126,37
127,37
128,37
129,37
130,37
131,36
132,36
133,35
134,35
135,34
136,34
138,34
139,34
140,34
141,34
142,34
143,34
144,33
145,33
147,33
148,33
149,33
150,33
151,33
152,32
153,32
154,32
155,32
156,32
157,32
158,32
159,32
160,32
161,32
162,32
163,32
164,32
165,32
166,32
167,32
168,32
170,31
171,31
172,31
173,31
174,30
175,30
176,30
177,30
178,30
179,30
180,29
181,29
182,29
183,29
184,29
185,28
186,27
187,27
188,27
189,27
191,27
192,27
193,27
194,27
195,27
196,27
197,26
198,26
199,26
200,26
201,26
202,26
203,26
204,26
205,26
206,26
207,26
208,26
209,26
210,26
211,26
212,26
214,26
215,26
216,26
217,26
218,26
219,26
220,26
221,26
222,26
223,26
224,26
225,26
226,26
227,25
228,25
229,25
230,25
232,24
233,24
234,24
235,24
237,24
239,24
241,24
242,24
243,23
245,23
247,23
248,23
249,23
251,23
252,23
253,23
254,23
255,23
256,23
258,23
259,23
260,23
262,23
263,23
264,23
265,23
266,23
267,23
268,23
269,23
270,23
271,22
272,22
273,22
274,22
275,21
276,21
278,21
279,21
280,21
281,21
282,21
283,21
284,20
286,20
287,20
289,20
290,20
292,20
293,20
294,20
295,20
296,20
297,20
298,20
299,20
300,20
301,20
302,20
303,20
304,20
305,20
306,20
307,20
308,20
309,20
310,20
311,20
312,20
313,20
314,20
315,20
316,20
318,20
319,20
320,20
321,20
322,20
323,20
324,20
325,20
