Time,Sus Amount
0,0
1,74
2,77
3,93
4,107
5,111
6,114
7,117
8,124
9,130
10,135
11,138
12,146
13,157
14,162
15,170
17,176
18,182
19,201
20,208
21,213
22,215
23,217
24,221
25,225
26,231
27,240
28,248
29,256
30,261
31,264
32,267
33,272
34,278
35,284
36,288
38,293
39,295
40,298
41,298
42,306
43,312
44,315
45,322
46,327
47,340
48,347
49,356
50,358
51,365
52,357
53,375
54,378
55,383
57,386
58,393
59,395
60,399
61,411
62,418
63,409
64,410
65,419
66,425
67,430
68,424
69,431
71,427
72,433
73,438
74,440
75,445
76,454
77,459
78,463
79,469
80,474
81,478
82,484
83,487
84,498
85,501
86,508
87,514
88,509
89,514
90,526
91,535
92,542
94,549
95,553
96,563
97,567
98,558
99,561
100,557
101,560
102,562
103,565
104,569
105,549
106,550
107,556
108,557
109,560
110,563
111,569
112,571
114,572
115,577
116,588
117,577
118,581
119,589
120,598
121,601
122,603
123,607
124,609
125,611
126,611
127,590
128,594
129,594
130,601
131,603
133,603
134,605
135,597
136,581
137,570
138,571
139,555
140,546
141,550
143,551
144,553
145,553
146,555
147,559
148,562
149,564
150,566
151,555
152,540
153,540
154,540
155,542
156,547
157,549
158,550
159,551
160,553
161,554
162,555
163,557
165,544
166,546
167,546
168,519
169,519
170,519
171,520
172,520
173,524
174,524
175,526
176,528
177,529
178,534
179,535
180,536
181,537
182,542
183,545
184,548
185,552
186,554
187,554
188,559
189,563
190,564
191,564
193,565
194,566
195,569
196,573
197,577
198,577
199,578
200,579
201,580
202,583
203,583
204,587
205,561
206,561
208,561
209,568
210,570
211,571
212,572
213,572
214,576
215,580
216,583
217,586
218,592
220,593
221,595
222,576
223,577
224,579
225,579
226,579
228,580
229,582
230,583
231,587
232,588
233,590
234,590
235,595
236,596
237,597
238,597
239,573
241,574
242,574
244,552
245,553
246,555
247,556
249,557
250,527
251,528
252,529
253,532
255,532
256,534
257,535
258,540
259,543
261,547
262,548
264,553
265,557
266,559
268,560
269,560
271,563
272,567
273,568
274,524
275,524
276,524
277,501
278,502
279,503
280,503
281,504
283,505
284,506
285,511
286,511
287,488
288,488
289,491
291,491
292,491
293,492
295,493
296,494
298,470
299,471
301,471
302,471
303,471
304,471
306,471
307,472
308,472
309,462
310,462
311,462
312,465
313,465
314,466
315,466
316,466
318,467
319,469
320,469
321,449
322,451
323,451
324,452
325,453
326,454
327,428
328,402
